Sale_ID,Date,Region,Dealer_Name,Vehicle_Model,Brand,Price,Quantity,Sale_Type,Year,Month,Quarter,Vehicle_Age
S001,2023-12-01,West,Wheels Auto,Sonet,Kia,814440,1,Used,2023,12,4,0
S002,2023-10-20,East,SpeedX,Sonet,Kia,1129495,1,New,2023,10,4,0
S003,2023-04-01,West,SpeedX,Seltos,Kia,1224916,1,Used,2023,4,2,0
S004,2023-03-22,South,DriveNow,Seltos,Kia,1543512,1,Used,2023,3,1,0
S005,2023-06-22,South,Metro Cars,EV6,Kia,975711,1,New,2023,6,2,0
S006,2023-02-19,West,Metro Cars,i20,Hyundai,1828645,1,New,2023,2,1,0
S007,2023-10-29,South,SpeedX,Carens,Kia,1665228,1,Used,2023,10,4,0
S008,2023-11-12,North,Wheels Auto,Safari,Tata,1733666,1,New,2023,11,4,0
S009,2023-04-18,South,DriveNow,Harrier,Tata,905291,1,New,2023,4,2,0
S010,2023-07-24,South,Wheels Auto,Safari,Tata,1945471,1,New,2023,7,3,0
S011,2023-12-04,North,Elite Motors,Brezza,Maruti,1367586,1,New,2023,12,4,0
S012,2023-06-21,East,Elite Motors,i20,Hyundai,1331127,1,New,2023,6,2,0
S013,2023-03-30,North,SpeedX,Baleno,Maruti,1581446,1,New,2023,3,1,0
S014,2023-12-23,South,Elite Motors,Venue,Hyundai,601220,1,Used,2023,12,4,0
S015,2023-07-15,West,Elite Motors,Brezza,Maruti,1013580,1,Used,2023,7,3,0
S016,2023-05-25,South,DriveNow,Swift,Maruti,717571,1,Used,2023,5,2,0
S017,2023-10-02,South,Elite Motors,Safari,Tata,1540149,1,Used,2023,10,4,0
S018,2023-11-08,North,DriveNow,Verna,Hyundai,953788,1,New,2023,11,4,0
S019,2023-04-24,North,Elite Motors,Venue,Hyundai,1112776,1,Used,2023,4,2,0
S020,2023-04-17,East,Elite Motors,Sonet,Kia,1513551,1,New,2023,4,2,0
S021,2023-07-10,South,SpeedX,Carens,Kia,772615,1,New,2023,7,3,0
S022,2023-10-29,East,DriveNow,Swift,Maruti,1017133,1,Used,2023,10,4,0
S023,2023-11-05,North,SpeedX,Harrier,Tata,1005740,1,New,2023,11,4,0
S024,2023-03-12,West,DriveNow,i20,Hyundai,647641,1,Used,2023,3,1,0
S025,2023-04-09,North,Metro Cars,Dzire,Maruti,1686094,1,Used,2023,4,2,0
S026,2023-10-20,West,SpeedX,EV6,Kia,1301976,1,Used,2023,10,4,0
S027,2023-01-26,North,Elite Motors,Harrier,Tata,928391,1,New,2023,1,1,0
S028,2023-08-10,East,Elite Motors,i20,Hyundai,1256990,1,New,2023,8,3,0
S029,2023-12-02,West,Elite Motors,Carens,Kia,1173585,1,New,2023,12,4,0
S030,2023-06-18,South,Wheels Auto,Tiago,Tata,1853435,1,New,2023,6,2,0
S031,2023-12-13,South,Elite Motors,Sonet,Kia,1726098,1,New,2023,12,4,0
S032,2023-09-01,South,SpeedX,Sonet,Kia,1049419,1,Used,2023,9,3,0
S033,2023-02-22,South,DriveNow,Tiago,Tata,1871998,1,New,2023,2,1,0
S034,2023-12-15,North,Elite Motors,Creta,Hyundai,706341,1,New,2023,12,4,0
S035,2023-12-29,East,Wheels Auto,Verna,Hyundai,1838640,1,New,2023,12,4,0
S036,2023-07-07,West,Metro Cars,Sonet,Kia,1921565,1,New,2023,7,3,0
S037,2023-06-08,West,Metro Cars,Safari,Tata,1627802,1,Used,2023,6,2,0
S038,2023-12-25,South,DriveNow,Seltos,Kia,1432202,1,New,2023,12,4,0
S039,2023-08-28,South,Wheels Auto,Harrier,Tata,1224542,1,New,2023,8,3,0
S040,2023-03-23,South,Metro Cars,Venue,Hyundai,1786142,1,New,2023,3,1,0
S041,2023-01-06,West,DriveNow,Nexon,Tata,1166577,1,New,2023,1,1,0
S042,2023-10-11,West,Metro Cars,Seltos,Kia,892675,1,New,2023,10,4,0
S043,2023-12-29,North,DriveNow,Seltos,Kia,1653508,1,New,2023,12,4,0
S044,2023-11-08,East,DriveNow,Safari,Tata,600363,1,Used,2023,11,4,0
S045,2023-09-15,North,Elite Motors,Nexon,Tata,1213459,1,Used,2023,9,3,0
S046,2023-02-22,East,DriveNow,Baleno,Maruti,1834964,1,Used,2023,2,1,0
S047,2023-04-05,East,Elite Motors,Baleno,Maruti,1044109,1,New,2023,4,2,0
S048,2023-05-10,West,DriveNow,Creta,Hyundai,1808355,1,Used,2023,5,2,0
S049,2023-08-27,West,Wheels Auto,EV6,Kia,828953,1,New,2023,8,3,0
S050,2023-10-20,North,Metro Cars,Nexon,Tata,1368408,1,Used,2023,10,4,0
S051,2023-10-03,East,Wheels Auto,Sonet,Kia,1367843,1,Used,2023,10,4,0
